model,dataset,variant,BERTScore_P,BERTScore_R,BERTScore_F1,Token_F1,Faithfulness
qwen-3,Neural-Bridge RAG,base,39.09,68.45,52.01,54.73,73.21
qwen-3,Neural-Bridge RAG,adapted,76.5,79.75,77.7,79.74,90.04
qwen-3,Dolly QA,base,39.9,49.92,43.79,48.46,74.57
qwen-3,Dolly QA,adapted,48.84,52.6,49.45,52.42,91.89
qwen-3,Aina RAG,base,50.0,22.03,34.06,39.06,74.95
qwen-3,Aina RAG,adapted,49.86,44.48,46.9,55.81,73.45
llama-3,Neural-Bridge RAG,base,51.97,67.76,58.83,64.33,80.12
llama-3,Neural-Bridge RAG,adapted,77.35,78.38,77.48,79.74,89.49
llama-3,Dolly QA,base,47.12,41.32,42.72,46.93,77.78
llama-3,Dolly QA,adapted,48.12,50.54,47.94,51.52,92.39
llama-3,Aina RAG,base,49.06,7.86,24.89,27.62,79.1
llama-3,Aina RAG,adapted,49.66,44.0,46.64,55.87,72.59
gemma-3,Neural-Bridge RAG,base,49.85,69.76,58.82,62.34,78.05
gemma-3,Neural-Bridge RAG,adapted,78.58,80.15,78.97,80.56,90.26
gemma-3,Dolly QA,base,44.78,48.83,45.89,48.37,74.74
gemma-3,Dolly QA,adapted,52.79,46.74,48.3,51.73,90.92
gemma-3,Aina RAG,base,49.09,17.81,31.35,35.14,74.79
gemma-3,Aina RAG,adapted,49.07,43.52,45.98,55.38,72.11
